"case_id","scenario","area","type","severity_hint","expected_action"
"CASE-001","During tablet compression, the operator noticed the compression force exceeded the validated upper limit of 15 kN by approximately 8% for a 20-minute window. The out-of-range values were captured in the batch record. No visual defects were observed on the tablets.","Manufacturing","unplanned","medium","Investigate and log deviation; QA review of in-process results before batch release."
"CASE-002","During API weighing for Batch MFG-0812, the balance printout shows 2.53 kg dispensed against a target of 2.50 kg — a 1.2% excess. The error was discovered after blending had already commenced. The batch was placed on hold by the operator.","Manufacturing","unplanned","high","Immediate QA escalation; batch on hold pending impact assessment on potency."
"CASE-003","A planned equipment qualification run was scheduled for the new high-shear granulator on Line 3. During the qualification, the inlet air temperature dropped to 38 °C instead of the target 55 °C for 10 minutes due to a building HVAC issue. The run was paused and the HVAC fault was corrected.","Manufacturing","planned","minor","Document deviation from qualification protocol; assess whether re-run of affected segment is required."
"CASE-004","An operator began manufacturing a new batch without completing the line clearance checklist for the previous product. A QC walkthrough identified leftover granules from the prior batch on the blending bowl rim. Manufacturing was halted immediately.","Manufacturing","unplanned","high","Immediate QA escalation; both batches quarantined pending cross-contamination risk assessment."
"CASE-005","During a planned process improvement trial, the blending time was intentionally extended from 15 to 20 minutes per the approved trial protocol to evaluate content uniformity. All trial steps were pre-approved by QA and documented in the trial protocol.","Manufacturing","planned","minor","No deviation action required; document trial results against protocol. Routine QA review."
"CASE-006","After completing a packaging run of 50,000 units, the QA line inspector discovered that the printed expiry date on the secondary carton reads NOV 2025 instead of NOV 2027. All 50,000 units are in the warehouse staging area awaiting dispatch.","Packaging","unplanned","high","Immediate QA escalation; quarantine all 50,000 units; initiate recall assessment if any units have left the site."
"CASE-007","The line clearance documentation for Packaging Line 2 was not signed off before the start of a new batch run. The supervisor confirmed verbally that the line had been cleared, but the paper checklist signature was missing. Packaging of Batch PKG-0441 had already commenced.","Packaging","unplanned","medium","Pause packaging run; complete retrospective line clearance verification; document deviation; QA review before resuming."
"CASE-008","A packaging line speed trial was conducted at 10% above the validated maximum speed as part of a planned capacity assessment study, pre-approved by the validation team. Seal integrity samples were collected at regular intervals. No failures were observed.","Packaging","planned","minor","Document trial outcome per validation protocol. No batch product at risk. Routine review."
"CASE-009","During routine in-process checks on the blister packaging line, 3 out of 200 sampled units showed incomplete foil sealing — a visible gap of approximately 1 mm was detected on the peel test. The affected units were from the same reel of foil material.","Packaging","unplanned","high","Halt line; quarantine all units from the affected foil reel; QA escalation; seal integrity investigation."
"CASE-010","The batch number printed on the secondary carton label for Batch PKG-0560 was found to have a transposed digit: label reads PKG-0506 instead of PKG-0560. The error was caught by QA during final release review. No units have left the warehouse.","Packaging","unplanned","medium","Quarantine affected units; relabel under QA supervision; document deviation; release pending re-inspection."
"CASE-011","The HPLC column used for finished product assay testing was found to have exceeded its validated injection limit of 500 injections by 37 injections. The column was used for the last 37 injections without a column performance check. Two batch release results were generated using the over-limit column.","QC","unplanned","medium","QA review of affected batch release data; system suitability retrospective assessment; column replaced."
"CASE-012","The primary dissolution test for Batch TAB-2240 returned a result of 71% at 45 minutes against a specification of NLT 80%. An OOS investigation was initiated. Phase 1 laboratory investigation found no assignable cause. Phase 2 repeat testing on fresh samples is pending.","QC","unplanned","high","Full OOS investigation per SOP; batch on hold; QA oversight of Phase 2 testing; QP notification if result confirmed."
"CASE-013","The primary reference standard used for an API identity test was found to have a retest date of 2026-03-31. The test was performed on 2026-05-07 — 37 days after the retest date. The test result passed specification, but the validity of the standard is in question.","QC","unplanned","high","Invalidate affected test result; retest using a current reference standard; QA review; assess other tests using the same standard."
"CASE-014","An analyst omitted the required 0.45 µm filtration step during sample preparation for a particulate matter test. The step was not flagged during the test and results were recorded. The omission was identified during a peer review of the raw data notebook.","QC","unplanned","medium","Invalidate affected result; repeat test with correct preparation; document deviation; analyst retraining."
"CASE-015","A QC analyst completed a sterility test without a second analyst witnessing the critical aseptic steps, as required by the test method. The test returned a negative (pass) result. The witnessing gap was identified during a QA walkthrough the same day.","QC","unplanned","high","QA escalation; sterility result placed on hold; assess whether test can be accepted or must be invalidated and repeated."
"CASE-016","During a QA review of batch records for Batch GRN-0117, it was noted that two entries in the in-process weighing section were made in pencil rather than permanent ink. The entries appear to match expected values. No other anomalies were found in the record.","Documentation","unplanned","minor","Document deviation; re-enter values in permanent ink with explanation; analyst notified; no QA escalation required."
"CASE-017","The electronic batch record system logged the completion time for the granulation endpoint step as 14:52, but the paper witness log shows 14:37 — a discrepancy of 15 minutes. Both records were signed by different operators. The cause of the discrepancy is unknown.","Documentation","unplanned","medium","Investigate source of discrepancy; reconcile records; if unexplained, QA review for data integrity assessment."
"CASE-018","Correction fluid was used to mask an entry error on page 8 of the batch manufacturing record for Batch LYO-0033. The original entry is no longer legible. The identity of the person who applied the correction fluid is unknown.","Documentation","unplanned","high","QA escalation; data integrity investigation; batch on hold pending determination of what original entry contained."
"CASE-019","The second-person verification signature is missing for the sterilisation cycle parameter confirmation step in the batch record for Batch INJ-0099. This is a critical GMP step. The batch has been released and is currently in the distribution network.","Documentation","unplanned","high","Immediate QA and QP escalation; assess whether distribution recall is required; regulatory notification may be needed."
"CASE-020","Batch record for Batch ORL-0204 was submitted for QA review with the yield reconciliation section left entirely blank. The production supervisor confirmed the yield was within range but did not complete the documentation before submission.","Documentation","unplanned","minor","Return batch record for completion; document deviation; no QA escalation required unless yield data cannot be reconstructed."
"CASE-021","The continuous temperature logger for Refrigerator RF-04 recorded a temperature of 10.2 °C between 02:10 and 04:40 (2.5-hour excursion). The normal storage range is 2–8 °C. The refrigerator holds finished product stability samples and three retained injectable batches.","Storage","unplanned","high","QA escalation; quarantine all affected samples; stability impact assessment; notify QP; consider regulatory reporting."
"CASE-022","The controlled substance storage vault was accessed by a single operator without the required dual-key sign-in. The operator retrieved a reference standard sample and signed out alone. The access log shows only one signature where two are required.","Storage","unplanned","high","QA escalation; verify inventory integrity; regulatory reporting assessment; retraining and access control review."
"CASE-023","Stability samples for Product XR-200 (12-month timepoint) were found stored upright in the stability chamber instead of inverted as specified in the stability protocol. The orientation error has been present for approximately 3 weeks based on storage logs.","Storage","unplanned","medium","Correct orientation immediately; document deviation; QA assessment of whether the 12-month data is still acceptable."
"CASE-024","During a routine warehouse audit, two pallets of a rejected raw material batch (rejected for microbial limits failure 6 weeks ago) were found stored in the approved materials zone rather than the segregated reject area. The pallets are intact and labeled REJECTED.","Storage","unplanned","high","Immediate relocation to reject zone; QA escalation; inventory check to confirm no rejected material was dispensed."
"CASE-025","As part of a planned preventive maintenance schedule, samples stored in Freezer FZ-02 were temporarily relocated to Freezer FZ-03 for 4 hours. The move was pre-approved by QA, temperature was continuously monitored during transfer, and all samples were returned to FZ-02 after maintenance.","Storage","planned","minor","No deviation action required. Document completed transfer per approved protocol. Routine QA sign-off."
